序号,城市,区,名称,地址,电话,营业时间,配套设施,室内,室外,硬地,红土,草地
197,上海,浦东新区,球上劲网球俱乐部(周浦小上海店),周浦梓营路72号停车场,,,,2,0,2,0,0
198,上海,浦东新区,友来网球俱乐部(云空馆),立跃路519号,,,,5,0,5,0,0
199,上海,浦东新区,INtennis赢满贯,立跃路519号25号楼2楼,,,,4,0,4,0,0
200,上海,浦东新区,星焰网球俱乐部,周浦繁荣路388号园区,,,,0,3,3,0,0
201,上海,浦东新区,昱航网球俱乐部(周浦店),周浦镇沈横路1号,,,,2,0,2,0,0
202,上海,浦东新区,友悦网球,年家浜路238号绿地缤纷广场4楼,,,,0,1,1,0,0
203,上海,浦东新区,周浦体育中心,小沥港路365号,,,,12,0,12,0,0
204,上海,浦东新区,健飞体育网球馆,周东南路593号海棠广场3层318室,,,,1,0,1,0,0
205,上海,浦东新区,翱翔者网球俱乐部(周浦店),周浦镇周东南路573号,,,,0,1,1,0,0
206,上海,浦东新区,懿德网羽中心·浦东三林店,懿行路981号,,,,2,0,2,0,0
207,上海,闵行区,名网网球俱乐部,三鲁公路5589弄49号,,,,1,0,1,0,0
208,上海,闵行区,迈兹MASS-万科VMO花园广场网球馆,浦锦路2049弄,,,,2,0,2,0,0
209,上海,闵行区,浦康休闲公园(浦江镇公共运动场),浦康路399弄38号,,,,0,2,2,0,0
210,上海,闵行区,壹古森活网球场,申旺路18号8幢3楼,,,,0,1,1,0,0
211,上海,闵行区,壹佰网球 CT CLUB,莘庄工业区申旺路18号8幢三楼,,,,0,6,6,0,0
212,上海,闵行区,鹏佰网球文化公园,春东路689号8号楼屋面,,,,5,5,10,0,0
213,上海,闵行区,绮梦网球俱乐部,梅州路505号一层A室,,,,3,0,3,0,0
214,上海,闵行区,QS网球馆,沪闵路3988号,,,,2,0,2,0,0
215,上海,闵行区,怡烽网球馆,申南路203号,,,,4,0,4,0,0
216,上海,闵行区,越趣网球俱乐部2,沪闵路3888号10号楼三楼,,,,0,1,1,0,0
217,上海,闵行区,越趣网球俱乐部,颛兴东路万达广场7号门对面,,,,3,0,3,0,0
218,上海,闵行区,严明网球·万达校区,颛兴东路1557号,,,,0,1,1,0,0
219,上海,闵行区,悦野网球场,光华路728号,,,,0,1,1,0,0
220,上海,闵行区,创竞界网球,紫燕路路西创·竞界网球,,,,6,0,6,0,0
221,上海,闵行区,壹佰网球 CT CLUB (室内店),紫燕路888号2号楼,,,,2,0,2,0,0
222,上海,闵行区,奇点网球(颛桥店),瓶北路与鑫都路交叉口南140米,,,,0,2,2,0,0
223,上海,闵行区,狼网网球中心,沪闵路3458弄66号,,,,6,0,6,0,0
224,上海,闵行区,怡烽体育·天籁园网球场,都市路与向阳路路口,,,,0,2,2,0,0
225,上海,闵行区,点赞网球馆,都市路777弄253号威尔士健身房旁边,,,,2,0,2,0,0
226,上海,闵行区,旗忠网球中心·室外场,马桥镇元江路5500号,,,,0,18,18,0,0
227,上海,闵行区,旗忠网球中心·中央球场,马桥镇元江路5500号,,,,1,0,1,0,0
228,上海,闵行区,旗忠网球中心·室内网球馆,马桥镇元江路5500号第1幢,,,,6,0,6,0,0
229,上海,松江区,源霖网球公园,松汇东路327号云间粮仓,,,,1,2,3,0,0
230,上海,松江区,熵网网球俱乐部(永丰路店),永丰路35号,,,,1,0,1,0,0
231,上海,松江区,明越网球俱乐部(松江球场)·吾悦广场,玉树路2559号吾悦生活广场4楼,,,,3,0,3,0,0
232,上海,松江区,颂秦体育·星空体育公园,玉树路2575号吾悦飞航广场4楼,,,,2,0,2,0,0
233,上海,浦东新区,青策Apex网球,民风路518号烨博新质产业园11幢,,,,1,0,1,0,0
234,上海,浦东新区,翱翔者网球俱乐部(金海路店),金海路2588号,,,,0,2,2,0,0
235,上海,浦东新区,财金网球俱乐部,德安路359号,,,,2,0,2,0,0
236,上海,浦东新区,迈兹MASS-数聚财神网球馆,景雅路58号,,,,1,0,1,0,0
237,上海,浦东新区,星锐网球俱乐部(唐镇室内馆),达秀路151号,,,,3,0,3,0,0
238,上海,浦东新区,HO Tennis后子琪网球学院×星,达秀路151号进园区左拐,,,,4,0,4,0,0
239,上海,浦东新区,涛飞网球场,上丰路955号C座9楼,,,,0,1,1,0,0
240,上海,浦东新区,圆梦室内网球馆,上丰路538号,,,,4,0,4,0,0
241,上海,浦东新区,至臻网球(唐镇店),金丰路277号,,,,3,0,3,0,0
242,上海,浦东新区,上海雍洲网球学院,金丰路515号,,,,4,4,8,0,0
243,上海,浦东新区,Our Tennis·唐镇印象球场,德淳路288号印象汇五楼,,,,0,1,1,0,0
244,上海,浦东新区,TOP云端网球俱乐部(唐镇店),德淳路288号,,,,0,1,1,0,0
245,上海,浦东新区,【新店开业8折】至臻网球·上海超级会员店,高科东路1688号,,,,6,0,0,6,0
246,上海,浦东新区,至臻网球·川沙店,建业路416号3幢,,,,3,0,3,0,0
247,上海,浦东新区,宏语网球中心,川沙镇妙境北路116弄205号,,,,3,0,3,0,0
248,上海,浦东新区,HR网羽中心网球场,川沙新镇川环北路280号,,,,0,1,1,0,0
249,上海,浦东新区,星锐网球俱乐部(川沙店)・川南体育公园,川沙新镇城南村八队汪家宅888号,,,,0,2,2,0,0
250,上海,浦东新区,JOY TENNIS・久逸网球俱乐部,川大路311号,,,,3,0,3,0,0
251,上海,浦东新区,Joy Tennis久逸网球俱乐部(远洋路店),远洋路8号,,,,3,0,3,0,0
252,上海,浦东新区,向东村社区运动场,合庆镇向东村村委内,,,,0,1,1,0,0
253,上海,宝山区,罗泾公园市民球场,罗泾镇潘沪路与罗宁路交叉口,,,,0,1,1,0,0
254,上海,嘉定区,北水湾体育公园,树屏路1585号,,,,0,2,2,0,0
255,上海,宝山区,四方体育中心,罗店镇石太路2893号,,,,0,4,4,0,0
256,上海,宝山区,新罗店网球俱乐部·罗店社区文化活动中心,塘西街366-370号2楼,,,,1,0,1,0,0
257,上海,宝山区,月浦公园市民球场,罗店镇市一路130号罗溪公园,,,,0,1,1,0,0
258,上海,嘉定区,嘉定网球中心,新成路118号,,,,3,3,6,0,0
259,上海,宝山区,甜区网球·乐威运动中心·宝钢体育中心,漠河路203号宝钢体育中心,,,,0,5,5,0,0
260,上海,宝山区,宝山体育中心,永清路700号永乐路4号门,,,,4,0,4,0,0
261,上海,宝山区,真谛网球馆,牡丹江路1081号夏园恒茂广场南楼5楼,,,,2,0,2,0,0
262,上海,宝山区,无界线网球俱乐部,宝杨路2029号5-2,,,,2,0,2,0,0
263,上海,宝山区,乐动力·杨行体育中心,盘古路2121号,,,,1,0,1,0,0
264,上海,宝山区,HGA网球俱乐部(招商花园城店),水产路2199弄哇咔体育公园网球场,,,,0,4,4,0,0
265,上海,宝山区,保集智谷,富联二路55弄,,,,0,1,1,0,0
266,上海,宝山区,积健网球,富联一路19号7号楼,,,,3,0,3,0,0
267,上海,宝山区,翼藤生态网球场,杨行镇温川公路1188弄58号-5,,,,3,2,5,0,0
268,上海,宝山区,Harvest网球俱乐部,沪联路768号D栋,,,,2,0,2,0,0
269,上海,宝山区,下一拍网球,顾村镇沪联路768号D栋101,,,,2,0,2,0,0
270,上海,松江区,平击网球俱乐部(茂盛路店),洞泾镇茂盛路116号,,,,2,0,2,0,0
271,上海,松江区,瀚浦网球馆,鼎源路与鼎盛路交叉口北100米,,,,2,0,2,0,0
272,上海,松江区,恒网网球俱乐部,凯悦酒店外五楼(松江区广富林路599...,,,,0,3,0,0,3
273,上海,松江区,松江区工人文化宫,梅家浜路356号,,,,0,1,1,0,0
274,上海,松江区,干练网球俱乐部,茸兴路488号茸创园3幢1层103室,,,,4,0,4,0,0
275,上海,松江区,国王·山河体育场,光星路755号,,,,0,1,1,0,0
276,上海,松江区,UPUP网球馆(刷脂网球俱乐部),茸阳路98号日播园区内,,,,1,1,2,0,0
277,上海,松江区,熵网网球俱乐部(茸阳路店),茸阳路69号,,,,6,0,6,0,0
278,上海,松江区,大脚怪网球俱乐部,松江新城茸兴路389号,,,,4,0,4,0,0
279,上海,松江区,平击·玩客行网球场,文翔路388号玩客行体育中心,,,,0,1,1,0,0
280,上海,松江区,上海悦动网球俱乐部,文翔路388号耳鹿创意园区,,,,0,1,1,0,0
281,上海,松江区,月浦农家乐市民球场,沪松公路6351号,,,,0,1,1,0,0
282,上海,松江区,菊远网球俱乐部(松江万达店),茸平路48号,,,,0,2,2,0,0
283,上海,松江区,橙风网球俱乐部,中山街道五昆路288号鑫华韵科创园,,,,3,0,0,3,0
284,上海,嘉定区,聚网网球JOJOTENNIS,南翔镇嘉美路1358号1号楼1层,,,,2,0,2,0,0
285,上海,嘉定区,收获者网球俱乐部,嘉好路263号6号楼2层,,,,3,0,3,0,0
286,上海,嘉定区,奇点网球俱乐部(博翔店),嘉绣东路与博翔路交叉口北20米,,,,0,1,1,0,0
287,上海,嘉定区,南翔镇博翔市民球场,南翔镇嘉绣东路与博翔路交叉口,,,,0,1,1,0,0
288,上海,嘉定区,虹翔网球中心,陈翔公路88号,,,,4,0,4,0,0
289,上海,嘉定区,境界网球中心,浏翔公路1000号4号馆,,,,2,0,2,0,0
290,上海,嘉定区,SOLO 网球俱乐部,南翔镇浏翔公路1000号靠近9号楼,,,,2,0,2,0,0
291,上海,嘉定区,OASES TENNIS南翔网球场,MEGA印象城6楼室外网球场,,,,0,1,1,0,0
292,上海,嘉定区,光圈网球·HALOTENNIS (翔立方),南翔镇沪宜公路1082号B栋,,,,0,1,1,0,0
293,上海,嘉定区,至臻网球(南翔店单打场),南翔镇民主街385号电气都市工业园1号楼,,,,4,0,4,0,0
294,上海,嘉定区,弘金地网球场(格林世界店),南翔镇芳林路333弄18号,,,,3,3,6,0,0
295,上海,普陀区,唛恩网球中心(东馆),柳华路118号,,,,8,0,8,0,0
296,上海,宝山区,唛恩网球中心,真陈路719号国金体育中心,,,,20,0,20,0,0
297,上海,宝山区,网球纪网球公园(南大店),业绩路21号,,,,2,0,2,0,0
298,上海,普陀区,橙跃网球普陀二店,众仁路165号,,,,2,2,4,0,0
299,上海,普陀区,光圈网球·HALOTENNIS(普陀),金通路158号,,,,2,0,2,0,0
300,上海,普陀区,橙跃网球,武威路和百丽路交叉口露天停车场内,,,,0,4,4,0,0
301,上海,嘉定区,宸奕网球,金园五路208号5幢102室,,,,1,0,1,0,0
302,上海,嘉定区,网湃网球(嘉园店),江桥镇金园三路326号,,,,0,1,1,0,0
303,上海,嘉定区,光圈网球学院,日永路4号,,,,4,0,4,0,0
304,上海,嘉定区,因乐驰网球俱乐部,江桥万达东广场,,,,0,2,2,0,0
305,上海,嘉定区,宜云网球中心,爱特路379-1号,,,,2,0,2,0,0
306,上海,青浦区,Ace x Prime sport,华徐公路966号,,,,3,0,3,0,0
307,上海,青浦区,风网西虹桥网球中心,华徐公路888号中国梦谷东北门,,,,2,1,3,0,0
308,上海,闵行区,上海西庭网球俱乐部,华漕镇金丰路555弄,,,,13,0,13,0,0
309,上海,闵行区,网悦网球,华漕镇北翟路5101号17栋203室,,,,4,0,4,0,0
310,上海,闵行区,沪动吧网球俱乐部(申长路店),申长路869号龙湖虹桥天街A馆六楼,,,,0,1,0,0,1
311,上海,闵行区,Our Tennis网球俱乐部,申长路869号龙湖虹桥天街A座6楼,,,,0,1,0,0,1
312,上海,闵行区,壹颗网球俱乐部,七宝镇吴宝路899弄8号金球驾校内,,,,0,3,0,0,3
313,上海,闵行区,焱网新明星花园网球场,航北路180弄,,,,0,1,0,0,1
314,上海,闵行区,体汇+红馆,吴中路2088弄1号主楼,,,,0,1,0,0,1
315,上海,闵行区,快网·闵行七宝球场,七莘路3155号联华超市顶楼,,,,0,2,0,0,3
316,上海,松江区,申亭网球俱乐部(沪松公路店),沪松公路1108弄,,,,2,0,0,0,1
317,上海,松江区,景驿网球(奥林匹克花园店),九亭沪松公路1118号,,,,0,2,0,0,1
318,上海,松江区,申亭网球俱乐部(九亭蒲汇路店),九亭镇蒲汇路189号,,,,4,0,0,0,1
319,上海,闵行区,MJ Tennis 闵行莘庄七宝店,中谊路859号,,,,1,2,0,0,2
320,上海,闵行区,焱网七莘路网球场,七莘路1885号,,,,0,1,0,0,1
321,上海,闵行区,闵行区体育公园,新镇路456号,,,,0,2,0,0,2
322,上海,松江区,橙亿网球,九亭中心路999弄98号,,,,4,0,0,0,3
323,上海,松江区,李宁·王朋仁羽毛球篮球网球馆,南洋路1号南洋启赋城6号楼,,,,1,0,0,0,1
324,上海,闵行区,工匠体育(水清路儿童室内馆),水清路1028弄万吉花园会所一楼,,,,1,0,0,0,3
325,上海,闵行区,莘庄山花路市民健身中心,山花路516号(莘光小学对面),,,,1,0,0,0,1
326,上海,宝山区,动茵体育·封村体育健身中心,塘祁路1588号,,,,2,0,0,0,3
327,上海,宝山区,网球纪网球公园,祁连山路3588弄118号,,,,0,6,0,0,2
328,上海,宝山区,老安村市民球场,陆翔路祁连公园内(东侧),,,,0,1,0,0,1
329,上海,普陀区,唛恩·祁挥网羽中心,祁安路300号,,,,5,6,11,0,0
330,上海,宝山区,1876顶峰网球场,1876园区山顶,,,,0,2,2,0,0
331,上海,宝山区,联西村民体育场,兆南路130号联西村民体育场,,,,0,1,1,0,0
332,上海,宝山区,HGA网球俱乐部(宝山大华店),真大路450弄A栋楼顶,,,,0,3,0,0,3
333,上海,浦东新区,翱翔者网球俱乐部(森兰店),坤逸路与高西路交叉口,,,,0,3,3,0,0
334,上海,浦东新区,疯狂网球俱乐部(森兰店硬地场),张杨北路2700号森兰无界体育公园,,,,2,2,4,0,0
335,上海,浦东新区,麦斯特网球中心(森兰体育公园店),高行镇张杨北路2700号森兰体育公园,,,,0,1,1,0,0
336,上海,浦东新区,疯狂网球俱乐部(森兰无界体育公园店-红土场),张杨北路2700号森兰无界体育公园,,,,0,4,0,4,0
337,上海,浦东新区,翱翔者&基石网球俱乐部(森兰邻里公园店),德爱路787号森兰邻里公园网球场,,,,2,2,4,0,0
338,上海,杨浦区,超岛体育,共青路430号内,,,,1,0,1,0,0
339,上海,浦东新区,光圈网球·HALOTENNIS (浦东北路室外场),浦东北路1298号,,,,0,2,2,0,0
340,上海,浦东新区,WillRising网球俱乐部,浦东北路985号,,,,2,0,2,0,0
341,上海,杨浦区,极禾网球俱乐部,共青路82弄10号(临近江边),,,,0,1,0,0,1
342,上海,浦东新区,橙子网球(博兴路店)·沪东体育科技园,博兴路85号,,,,2,0,2,0,0
343,上海,浦东新区,拍晟网球俱乐部(开兴健身园店),双桥路318号开兴健身园内,,,,2,2,4,0,0
344,上海,浦东新区,SEEDSTAR种子新星网球(融创店),归昌路126号融创精彩天地A座广场,,,,1,0,1,0,0
345,上海,浦东新区,爱星网羽俱乐部,金桥镇巨峰路868号巨丰文化广场,,,,0,1,1,0,0
346,上海,浦东新区,康景网球俱乐部,金桥镇杨高北路4705弄58号,,,,3,0,3,0,0
347,上海,杨浦区,至臻网球(黄兴体育公园店),双阳北路363号黄兴体育公园网球场,,,,3,0,3,0,0
348,上海,杨浦区,甜区网球·乐动力杨浦体育中心室内网球馆,隆昌路640号3楼,,,,3,0,3,0,0
349,上海,杨浦区,长阳创谷体育中心,黄兴路168号,,,,1,0,1,0,0
350,上海,杨浦区,至臻网球(长阳店),内江路191号洛克公园二楼,,,,2,0,2,0,0
351,上海,杨浦区,乐动力·杨浦滨江运动公园,平定路最南面靠近江边,,,,0,2,2,0,0
352,上海,浦东新区,至臻网球(金杨店),云山路688号乐居里3号楼,,,,3,0,3,0,0
353,上海,浦东新区,快网网球俱乐部(浦东金杨店),博山东路358号幕天里三楼网球场,,,,0,2,2,0,0
354,上海,浦东新区,碧云荣广网球场,黄杨路25号,,,,2,0,0,2,0
355,上海,浦东新区,Vita网球俱乐部,黄杨路65弄,,,,0,1,1,0,0
356,上海,浦东新区,酷玩网球俱乐部(金桥店-红星美凯龙8楼),金藏路158号红星美凯龙8楼网球场,,,,0,2,2,0,0
357,上海,浦东新区,酷玩网球俱乐部(金桥店-1楼室外),金藏路158号1楼(靠近三号门),,,,0,2,2,0,0
358,上海,浦东新区,绿茵网球中心,金港路211号,,,,0,2,2,0,0
359,上海,浦东新区,决胜点网球(金港路店),金港路558号,,,,1,2,3,0,0
360,上海,浦东新区,碧云网球中心,碧云社区川桥路180号,,,,0,9,9,0,0
361,上海,浦东新区,节拍新星网球馆(火星谷店),桂桥路115号3号楼(火星谷)货梯2楼,,,,1,0,1,0,0
362,上海,浦东新区,智悦网球,金葵路560弄,,,,0,1,1,0,0
363,上海,浦东新区,上海东郊宾馆,金科路1800号东郊宾馆悦宾楼,,,,5,5,10,0,0
364,上海,浦东新区,迈兹MASS-德国中心网球馆(科苑路店),科苑路88号,,,,0,2,2,0,0
365,上海,浦东新区,快网网球俱乐部(浦东夏宫店)·城市经典夏宫,"香楠路488弄,近广兰路",,,,0,1,1,0,0
366,上海,浦东新区,张江君庭集电港网球场,"张江丹桂路张东路,集电港一期",,,,0,2,2,0,0
367,上海,浦东新区,拍晟网球俱乐部(旋风店),张江高科技园区亮景路265号,,,,2,0,2,0,0
368,上海,浦东新区,熊猫网球(张江店)·烈火体育中心,张东路2600号,,,,0,2,2,0,0
369,上海,浦东新区,熊猫网球·玫瑰湾,张江玫瑰湾会所2楼,,,,0,2,2,0,0
370,上海,浦东新区,Pt Tennis,北蔡镇罗山路5115号,,,,3,0,3,0,0
371,上海,浦东新区,康东星耀网球,康桥东路500号,,,,10,0,0,10,0
372,上海,浦东新区,劲友网球俱乐部,张江河北路555号,,,,1,1,2,0,0
373,上海,浦东新区,SEEDSTAR种子新星网球(桂林路店),德必芳华陆家嘴互联网创新基地东南门旁,,,,1,0,1,0,0
374,上海,浦东新区,至臻网球(芳华店),芳草路63号,,,,3,0,3,0,0
375,上海,浦东新区,左佑网球浦东世外桃源店,北蔡镇莲溪路109号,,,,0,2,2,0,0
376,上海,浦东新区,瑞宝综合体育馆,新陈路815号,,,,2,0,2,0,0
377,上海,浦东新区,HGA网球俱乐部(中环御桥复地活力城店),沪南路2229号复地活力城6楼,,,,0,1,0,0,1
378,上海,浦东新区,菊远网球俱乐部(御桥店),沪南路2655号开格科技园区,,,,1,0,1,0,0
379,上海,浦东新区,聚顶体育·宏慧音悦湾,严家桥1号宏慧音悦湾6号楼6楼,,,,0,2,2,0,0
380,上海,浦东新区,快网网球俱乐部(浦东大华店),成山路1139号锦绣中心5楼,,,,0,2,2,0,0
381,上海,浦东新区,球上劲网球运动中心(成山路巴黎春天店),成山路1993号巴黎春天商场西门口,,,,0,1,1,0,0
382,上海,浦东新区,HGA网球俱乐部(浦三路室内店),浦三路1515号,,,,2,0,2,0,0
383,上海,浦东新区,北蔡镇社区文化活动中心,陈春路101号,,,,0,1,1,0,0
384,上海,浦东新区,行者网球俱乐部·上海中天科技商务园,康桥路787号中天科技园1号楼旁,,,,2,0,2,0,0
385,上海,浦东新区,至臻网球(康桥店),康桥路628号4栋,,,,3,0,3,0,0
386,上海,普陀区,HGA网球俱乐部(118广场店),金沙江路1685号农工商楼上4楼,,,,0,3,0,0,3
387,上海,普陀区,快网网球俱乐部(普陀中环店),云岭西路与真北路交叉口高架下(洛克公园...,,,,2,0,2,0,0
388,上海,长宁区,至臻网球(天山店),北翟路72号至臻网球室外粉色球场,,,,0,4,4,0,0
389,上海,长宁区,快网网球俱乐部(淞虹路店),金钟路631号3号楼7楼天台,,,,0,1,0,0,1
390,上海,长宁区,快网网球俱乐部(临空店),金钟路631弄3号7楼,,,,0,1,0,0,1
391,上海,长宁区,节奏网球俱乐部(晨讯科技大楼店),金钟路633号晨讯科技大楼A楼8楼,,,,0,1,1,0,0
392,上海,长宁区,虹康绿地休闲广场,新泾镇泉口路111号近剑河路(适存小学对面),,,,0,1,1,0,0
393,上海,长宁区,纽绍克健身网球场,中泾路27号,,,,0,1,1,0,0
394,上海,长宁区,极星网球俱乐部(龙柏饭店),虹桥路2419号,,,,0,2,2,0,0
395,上海,闵行区,酷派网球场,虹桥镇延安西路3328号酷派网球俱乐部,,,,0,2,2,0,0
396,上海,长宁区,恺名网球俱乐部,虹桥路2272号,,,,1,0,1,0,0
397,上海,长宁区,HGA网球俱乐部(虹梅路店)·森晟世洋国际广场,虹梅路3721号森晟世洋国际广场,,,,0,1,1,0,0
398,上海,闵行区,明越网球(虹桥古北店),虹桥镇程家桥支路201号智地大厦9楼,,,,0,1,1,0,0
399,上海,闵行区,【新店开业9折】至臻网球·虹桥店,合川路3088号4号楼1楼,,,,2,0,2,0,0
400,上海,闵行区,虹桥基金小镇,虹梅路3081号,,,,0,1,1,0,0
401,上海,闵行区,魔都Modu网羽馆,吴中路1588号上海爱琴海购物中心9楼,,,,1,0,1,0,0
402,上海,闵行区,瑞趣网球俱乐部(万象城店),吴中路1799号万象城写字楼A座UG层近DD...,,,,0,2,2,0,0
403,上海,闵行区,明泉网球场,虹秀路51号,,,,1,0,1,0,0
404,上海,闵行区,凌客网球学院(星中路店),星东路1001号,,,,0,2,2,0,0
405,上海,闵行区,沪动吧网球俱乐部(漕河泾店),漕宝路1245号悠享家公寓5楼楼顶,,,,0,2,0,0,2
406,上海,闵行区,OASES绿洲运动中心,田林路888弄1号楼,,,,3,0,3,0,0
407,上海,闵行区,七乐网球(顾戴路室内店),顾戴路1618号,,,,2,3,5,0,0
408,上海,闵行区,焱网古美东苑网球场,顾戴路1178弄31号3楼,,,,0,3,3,0,0
409,上海,闵行区,城开CTP网球俱乐部(万源城·乐斯生活会馆店),万源路916号乐斯生活会馆4楼,,,,0,2,2,0,0
410,上海,闵行区,快网网球俱乐部(古美中环运动公园),虹梅路与古龙路交叉口西北40米,,,,0,1,1,0,0
411,上海,静安区,大干体育运动俱乐部,沪太路1111号(近高平路)静安大融城...,,,,5,0,5,0,0
412,上海,静安区,至臻网球(大宁店),灵石路709号秀709媒体园44幢3楼,,,,5,0,5,0,0
413,上海,静安区,跃网·RISING(大宁店),平陆路356弄1-10号,,,,2,0,2,0,0
414,上海,静安区,水星网球(大宁室内馆),彭江路602号,,,,2,0,2,0,0
415,上海,静安区,沪动吧网球俱乐部(老沪太路店),老沪太路199弄新弘国际公寓小区里,,,,0,1,1,0,0
416,上海,静安区,HGA网球俱乐部(盛源广场店),柳营路777号盛源广场电梯至5楼(麦当劳右手边),,,,0,1,1,0,0
417,上海,静安区,HGA网球俱乐部(共和新路店),共和新路1301号北楼8楼楼顶,,,,0,1,0,0,1
418,上海,静安区,明越网球俱乐部(共和新路店),共和新路1165号3号楼3楼,,,,0,1,0,0,1
419,上海,静安区,合一网球俱乐部(柳营灯饰城店),柳营路216号新柳营灯饰广场4号楼楼顶...,,,,0,2,2,0,0
420,上海,静安区,3L Tennis(七浦路店),七浦路488号白马高级服装市场3楼楼顶平台,,,,0,1,1,0,0
421,上海,静安区,至臻网球·静安大悦城店,安庆路495号停车场内,,,,0,5,5,0,0
422,上海,虹口区,快网网球俱乐部(壹丰广场店),四川北路1363号壹丰广场5楼楼顶,,,,0,1,1,0,0
423,上海,静安区,内啡肽(七浦路店),河南北路99号,,,,0,1,1,0,0
424,上海,虹口区,白玉兰网球中心,东长治路588号,,,,2,2,4,0,0
425,上海,虹口区,北外滩社区市民健身中心,通州路99号,,,,3,0,3,0,0
426,上海,虹口区,北外滩社区市民健身中心·红土场,通州路99号,,,,1,0,0,1,0
427,上海,虹口区,北外滩网球运动中心,通州路99号3层,,,,1,0,0,1,0
428,上海,杨浦区,长阳创谷体育中心,黄兴路168号,,,,1,0,1,0,0
429,上海,杨浦区,乐动力·杨浦体育馆,隆昌路640号杨浦体育馆西门橙狮体育主楼...,,,,4,0,4,0,0
430,上海,杨浦区,至臻网球(黄兴体育公园店),双阳北路363号黄兴体育公园网球场,,,,3,0,3,0,0
431,上海,宝山区,快网网球俱乐部(大华虎城店),大华路318号中信银行侧面电梯上三楼楼梯上...,,,,1,0,1,0,0
432,上海,普陀区,万里公园·万里城中央绿地,万里名轩西北,,,,0,2,2,0,0
433,上海,普陀区,HGA网球俱乐部(行云店),富平路99号园区内开车从交通局上的南门左手...,,,,0,2,2,0,0
434,上海,普陀区,Our Tennis网球俱乐部(行云球场),富平路99号创享社区,,,,0,5,5,0,0
435,上海,普陀区,至臻网球(华池店双打场),华池路58弄新体育广场5号楼对面至臻....,,,,0,1,1,0,0
436,上海,普陀区,至臻网球(华池店单打场),华池路58弄新体育广场网球场,,,,2,2,4,0,0
437,上海,普陀区,上海市体育宫,大渡河路1860号沪西体育宫内(近铜川路),,,,0,4,4,0,0
438,上海,普陀区,麦斯特网球中心(岚皋路店)·洛克公园(铜川路店),铜川路185号(洛克体育公园园区内),,,,0,3,3,0,0
439,上海,普陀区,快网网球俱乐部(普陀美凯龙店),真北路1108号红星美凯龙7楼,,,,2,0,2,0,0
440,上海,普陀区,丹巴路市民网球场,丹巴路201号,,,,0,1,1,0,0
441,上海,普陀区,光圈网球·HALOTENNIS(长风大悦城店),大渡河路196号7楼,,,,0,1,1,0,0
442,上海,普陀区,Our Tennis网球俱乐部(皓月球场),光复西路2739号3A,,,,0,2,0,0,2
443,上海,闵行区,爱登堡知妤网球俱乐部,恒西路139号爱登堡园区内东南侧,,,,2,0,2,0,0
444,上海,闵行区,暴风运动·网羽中心(浦江店),三鲁公路3585号6号楼2楼,,,,1,0,1,0,0
445,上海,闵行区,暴风运动,三鲁公路3585号7幢2层,,,,10,0,10,0,0
446,上海,闵行区,乐达体育中心,浦江镇竹园路139号,,,,2,0,2,0,0
447,上海,闵行区,浦江镇市民健身中心,江玮路269号,,,,0,2,2,0,0
448,上海,闵行区,点匠网球俱乐部(绿亮科创园店),虹梅南路2588号绿亮科技园内,,,,2,0,2,0,0
449,上海,闵行区,绿亮科创园网球场,虹梅南路2588号(绿亮科创园内),,,,2,0,2,0,0
450,上海,闵行区,GOAT巨星室内网球馆,联曹路305号B3,,,,2,0,2,0,0
451,上海,闵行区,育帆网球馆,双柏路879弄88号A栋,,,,2,0,2,0,0
452,上海,闵行区,上海奕晋网球俱乐部(景东路分部),龙吴路4221号二号路与五号路叉口西,,,,7,0,7,0,0
453,上海,闵行区,明越网球俱乐部(元江球场),吴泾镇元江路525号金领谷科技产业园7号,,,,0,1,0,0,1
454,上海,闵行区,泾彩菁英网球俱乐部,曲吴路589号(上海梦谷南上海文化创意产业园),,,,4,0,4,0,0
455,上海,闵行区,光圈网球·HALOTENNIS(梅陇运康店),梅龙镇伟业路855号,,,,0,2,0,0,2
456,上海,闵行区,上海智胜网球(春申路店),春申路2328号张慕工业园区4号楼1层,,,,1,0,1,0,0
457,上海,闵行区,智胜网球俱乐部(春申路店),春申路2328号张慕工业园区4号楼202,,,,1,0,1,0,0
458,上海,闵行区,上海智胜网球旗舰店,春申路1899号,,,,12,0,12,0,0
459,上海,闵行区,泰尼士网球中心,春申路2328号张慕工业园区进门右侧,,,,8,0,8,0,0
460,上海,闵行区,OKK网球俱乐部,都庄路4300号,,,,9,0,9,0,0
461,上海,闵行区,疯狂网球俱乐部(闵行星河湾店),梅州路56号,,,,0,4,4,0,0
462,上海,闵行区,麦斯特网球中心(星河湾店),Realpark king sports体育公园南门旁,,,,0,4,4,0,0
463,上海,闵行区,工匠体育(莲花南路店),莲花南路1688号,,,,1,0,1,0,0
464,上海,闵行区,瑞趣网球俱乐部(闵行星河湾店),都会路3799号网球场,,,,2,0,2,0,0
465,上海,闵行区,点匠网球俱乐部(越也室内店),虹梅南路2599号越也大厦208,,,,2,0,2,0,0
466,上海,闵行区,智胜网球俱乐部(金都路店),金都路1199号越界1199上海智胜网球,,,,5,0,5,0,0
467,上海,闵行区,得客会体育中心,颛兴东路1421弄15号,,,,17,0,17,0,0
468,上海,闵行区,憨牛网球俱乐部(闵行店),向阳路1369号,,,,2,1,3,0,0
